Anio;Nivel;rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;prom_lect2m_rbd;prom_mate2m_rbd;palu_eda_insuficiente_lect2m_rbd;palu_eda_insuficiente_mate2m_rbd;total_profesores;total_hh;total_prioritarios;total_beneficiarios;total_matriculados;promedio_asistencia;latitud;longitud;pago_mensual
2022;2m;4483;0;LICEO BICENTENARIO POLITECNICO HEROES DE LA CONCEPCIÓN;8;DEL BIOBÍO;83;BIOBÍO;8304;LAJA;2;1;2;1;246;257;51,7;46,1;100;4077;256;256;1131;92,71046771;-37,278782;-72,713203;GRATUITO
2022;2m;4500;4;LICEO ISIDORA AGUIRRE TUPPER;8;DEL BIOBÍO;83;BIOBÍO;8310;SAN ROSENDO;2;1;2;1;273;259;23,5;47,1;35;1342;72;72;372;87,72444444;-37,261749;-72,722427;GRATUITO
2022;2m;4505;5;LICEO PADRE LUIS ALBERTO SALDES IRARRAZABAL;8;DEL BIOBÍO;83;BIOBÍO;8313;YUMBEL;2;1;1;1;232;222;68,3;74,6;33;1064;51;51;284;89,12837838;-37,096722;-72,565392;GRATUITO
2022;2m;4507;1;LICEO TÉCNICO PROFESIONAL GONZALO GUGLIELMI MONTIEL;8;DEL BIOBÍO;83;BIOBÍO;8313;YUMBEL;2;1;1;1;225;234;69;60;55;1808;62;62;408;86,12053571;-37,142551;-72,538696;GRATUITO
2022;2m;4509;8;LICEO MUNICIPAL RIO CLARO;8;DEL BIOBÍO;83;BIOBÍO;8313;YUMBEL;2;1;1;2;242;238;52,9;64,7;39;1292;48;48;294;89,71751412;-37,102119;-72,56076;GRATUITO
2022;2m;4530;6;INSTITUTO SAN SEBASTIÁN BÁSICO.;8;DEL BIOBÍO;83;BIOBÍO;8313;YUMBEL;3;2;3;1;264;275;37,8;35,1;56;2265;305;305;1057;87,50743802;-37,097252;-72,562019;GRATUITO
2022;2m;4531;4;COLEGIO MARINA DE CHILE;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;6;4;2;1;236;231;58,7;65,7;76;2766;336;336;1105;83,86142322;-36,809231;-73,07383;GRATUITO
2022;2m;4533;0;LICEO TÉCNICO FEMENINO A-29 DE CONCEPCIÓN;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;5;2;1;1;214;219;76,7;79,5;43;1655;85;0;497;75,98818898;-36,832649;-73,048523;GRATUITO
2022;2m;4534;9;LICEO BICENTENARIO DE EXCELENCIA COMERCIAL INSUCO;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;5;2;2;1;232;245;61,7;58,5;63;2235;288;0;1166;78,69256757;-36,829689;-73,049583;GRATUITO
2022;2m;4535;7;LICEO INDUSTRIAL DE CONCEPCION;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;5;2;1;1;207;226;79,6;70;45;1657;111;0;533;80,65277778;-36,82177;-73,009171;GRATUITO
2022;2m;4536;5;LICEO COMERCIAL FEMENINO DE CONCEPCION;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;5;2;2;1;238;231;66,7;71,8;31;953;47;0;213;79,98095238;-36,823841;-73,056664;GRATUITO
2022;2m;4553;5;LICEO DE NIÑAS;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;6;4;2;1;234;237;61,7;70,5;45;1448;129;129;391;82,59151194;-36,830212;-73,050911;GRATUITO
2022;2m;4555;1;LICEO ENRIQUE MOLINA GARMENDIA;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;6;4;2;1;225;224;67,5;78;39;1239;90;90;325;81,53333333;-36,831501;-73,04689;GRATUITO
2022;2m;4557;8;LICEO POLIVALENTE EXPERIMENTAL LUCILA GODOY ALCAYAGA;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;6;4;2;1;240;245;50;56,1;34;1075;67;67;239;80,62008734;-36,831902;-73,0495;GRATUITO
2022;2m;4559;4;LICEO LORENZO ARENAS OLIVO;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;6;4;1;1;190;191;;;21;554;7;7;50;73,38095238;-36,81192;-73,07769;GRATUITO
2022;2m;4560;8;LICEO CHIGUAYANTE;8;DEL BIOBÍO;81;CONCEPCI;8103;CHIGUAYANTE;6;4;1;1;238;232;60;71,4;54;1984;54;54;311;81,03478261;-36,922901;-73,030617;GRATUITO
2022;2m;4561;6;LICEO JUAN MARTINEZ DE ROZAS;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;6;4;3;1;214;213;78,9;81;19;575;13;13;132;83;-36,822361;-73,054237;GRATUITO
2022;2m;4562;4;LICEO SAN PEDRO;8;DEL BIOBÍO;81;CONCEPCI;8108;SAN PEDRO DE LA;2;1;2;1;232;235;66;57,8;39;1464;100;100;362;79,18131868;-36,83963;-73,11097;GRATUITO
2022;2m;4563;2;COLEGIO REPÚBLICA DEL ECUADOR;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;6;4;2;1;249;231;52,6;88,9;40;1289;37;37;264;82,04347826;-36,846931;-73,051117;GRATUITO
2022;2m;4564;0;COLEGIO BICENTENARIO REPÚBLICA DEL BRASIL;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;6;4;3;1;215;234;73,5;67,3;107;3946;590;590;1482;80,91370558;-36,832211;-73,049713;GRATUITO
2022;2m;4565;9;LICEO DOMINGO SANTA MARÍA;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;6;4;2;1;253;245;50;60,9;37;1280;105;105;477;87,07958478;-36,812771;-73,033524;GRATUITO
2022;2m;4571;3;LICEO JOSE HIPOLITO SALAS Y TORO;8;DEL BIOBÍO;81;CONCEPCI;8103;CHIGUAYANTE;6;4;1;1;239;225;44,4;70,6;48;1695;42;38;251;79,21052632;-36,92054;-73,027458;GRATUITO
2022;2m;4572;1;COLEGIO GRAN BRETAÑA;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;6;4;2;1;239;235;63,3;64,3;39;1358;53;53;400;81,75242718;-36,820381;-73,052803;GRATUITO
2022;2m;4574;8;COLEGIO BICENTENARIO ESPAÑA;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;6;4;2;1;227;232;69,2;70,3;73;2710;244;244;757;81,57808219;-36,824348;-73,036507;GRATUITO
2022;2m;4575;6;ESCUELA BASICA JOHN F. KENNEDY;8;DEL BIOBÍO;81;CONCEPCI;8103;CHIGUAYANTE;6;4;2;1;241;236;52,4;58,8;62;2229;114;114;449;84,248;-36,91293;-73,02565;GRATUITO
2022;2m;4577;2;LICEO REPÚBLICA DE ISRAEL;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;6;4;3;1;252;283;40;22,2;43;1492;80;80;405;86,50649351;-36,816349;-73,041496;GRATUITO
2022;2m;4585;3;LICEO REBECA MATTE BELLO;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;6;4;2;1;257;312;32;26,9;45;1498;104;104;409;89,21848739;-36,81382;-73,055283;GRATUITO
2022;2m;4588;8;COLEGIO JUAN GREGORIO LAS HERAS;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;6;4;3;1;245;246;51,5;51,5;74;2435;252;252;935;83,47882136;-36,819698;-73,046227;GRATUITO
2022;2m;4589;6;LICEO LUCERO GONZALEZ;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;6;4;1;1;198;208;84,6;64,3;37;1254;34;34;244;88,52112676;-36,834671;-73,004242;GRATUITO
2022;2m;4591;8;ESCUELA BASICA REPUBLICA DE GRECIA;8;DEL BIOBÍO;81;CONCEPCI;8103;CHIGUAYANTE;6;4;1;1;233;211;66,7;71,4;48;1693;51;51;450;79,69516729;-36,955891;-73,015778;GRATUITO
2022;2m;4616;7;ESCUELA BASICA MICHAIHUE;8;DEL BIOBÍO;81;CONCEPCI;8108;SAN PEDRO DE LA;2;1;1;1;224;208;60;80;58;2228;17;17;443;77,95575221;-36,843349;-73,141403;GRATUITO
2022;2m;4617;5;COLEGIO GALVARINO DE LOMAS COLORADAS;8;DEL BIOBÍO;81;CONCEPCI;8108;SAN PEDRO DE LA;2;1;2;1;224;223;71,9;75,8;51;1756;158;156;521;85,09824561;-36,87785;-73,137939;GRATUITO
2022;2m;4630;2;COLEGIO DEL SAGRADO CORAZON;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;3;2;3;1;257;251;41,2;53,3;94;3262;438;0;1369;84,67047308;-36,826019;-73,055687;$50.001 A $100.000
2022;2m;4631;0;COLEGIO PARTICULAR ANDRÉS BELLO;8;DEL BIOBÍO;81;CONCEPCI;8103;CHIGUAYANTE;3;2;2;1;220;231;71,4;66,4;116;4211;524;524;1674;85,95695696;-36,932499;-73,024117;GRATUITO
2022;2m;4636;1;COLEGIO MARCELA PAZ;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;3;2;4;1;261;285;45,8;29,2;52;1825;191;0;505;85,04516129;-36,815559;-73,051361;$50.001 A $100.000
2022;2m;4644;2;COLEGIO PARTICULAR JUAN BOSCO;8;DEL BIOBÍO;81;CONCEPCI;8108;SAN PEDRO DE LA;3;2;2;1;235;240;56,6;61,7;74;2647;528;528;1562;86,87907466;-36,882141;-73,129646;GRATUITO
2022;2m;4646;9;COLEGIO SANTA SABINA;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;3;2;4;1;279;311;24,6;17,6;63;2395;482;0;1284;85,15577889;-36,78965;-73,042839;GRATUITO
2022;2m;4655;8;COLEGIO ADVENTISTA DE CONCEPCION;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;3;2;3;1;247;276;45,5;27,9;48;1837;309;0;776;89,35752688;-36,8279;-73,056229;$50.001 A $100.000
2022;2m;4656;6;ESCUELA PARTICULAR INSTITUTO SAN PEDRO;8;DEL BIOBÍO;81;CONCEPCI;8108;SAN PEDRO DE LA;3;2;3;1;256;248;43,6;62,5;56;2100;339;0;1020;88,05555556;-36,832321;-73,114197;$25.001 A $50.000
2022;2m;4659;0;COLEGIO LA PROVIDENCIA;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;3;2;3;1;252;261;45,1;42,3;51;1614;201;201;1019;91,625;-30,603609;-71,196198;GRATUITO
2022;2m;4662;0;COLEGIO SAN IGNACIO;8;DEL BIOBÍO;81;CONCEPCI;8108;SAN PEDRO DE LA;3;2;4;1;269;282;34,6;31,7;61;2218;289;0;815;88,39914163;-33,032051;-71,530472;$50.001 A $100.000
2022;2m;4663;9;COLEGIO MARIA INMACULADA;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;3;2;3;1;265;271;40,7;41,2;104;4248;711;0;1804;86,38215962;-36,821831;-73,060127;$25.001 A $50.000
2022;2m;4664;7;COLEGIO SANTA EUFRASIA;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;3;2;3;1;226;231;66,2;65,7;64;2364;453;453;1165;85,89792899;-36,815811;-73,039192;GRATUITO
2022;2m;4666;3;COLEGIO SANTA LUISA DE CONCEPCION;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;3;2;3;1;276;284;23,9;31,9;55;2198;422;0;1018;88,9723127;-36,812389;-73,07357;$25.001 A $50.000
2022;2m;4667;1;COLEGIO SAN PATRICIO;8;DEL BIOBÍO;81;CONCEPCI;8103;CHIGUAYANTE;3;2;2;1;241;235;53,1;65,3;49;1777;279;279;815;90,72032193;-36,922371;-73,029694;GRATUITO
2022;2m;4669;8;LICEO SAN AGUSTIN DE CONCEPCION;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;3;2;4;1;282;308;18,8;15,8;64;2494;437;0;1248;85,73389356;-36,82777;-73,044449;$50.001 A $100.000
2022;2m;4672;8;LICEO TÉCNICO PROFESIONAL BICENTENARIO JORGE SÁNCHEZ UGA;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;3;2;2;1;245;264;54,7;43,7;0;0;0;0;0;0;;;SIN INFORMACION
2022;2m;4677;9;ESCUELA PARTICULAR SAN JOSE;8;DEL BIOBÍO;81;CONCEPCI;8108;SAN PEDRO DE LA;3;2;3;1;260;248;39,1;42,9;33;1257;256;256;752;89,03381643;-32,82938;-70,597954;GRATUITO
2022;2m;4679;5;KINGSTON COLLEGE;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;4;3;5;1;267;297;33,3;27;58;2335;58;0;834;89,6964657;-36,805232;-73,04104;MAS DE $100.000
2022;2m;4680;9;COLEGIO BAUTISTA DE CONCEPCION;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;4;3;4;1;272;280;27,9;26,7;28;882;130;0;429;89,1902439;-36,823565;-73,05983;MAS DE $100.000
2022;2m;4686;8;INSTITUTO DE HUMANIDADES ALFREDO SILVA S;8;DEL BIOBÍO;81;CONCEPCI;8101;CONCEPCIÓN;4;3;5;1;303;357;7;1,6;64;2014;97;0;961;90,03467153;-36,83108;-73,04507;MAS DE $100.000
